Susceptible,Infected,Recovered,1st_Vaccination_Dose,2nd_Vaccination_Dose,3rd_Vaccination_Dose,4th_Vaccination_Dose
2759223.0,900000.0,300000.0,96245.0,88348.0,64559.0,41625.0
0.02360803042431915,3268883.6219156734,524943.4969793705,93073.25257243997,86658.28347701825,63947.43196789993,41238.53704445534
0.03398926350969282,2922691.1749145593,719513.7113872269,90005.8926730646,84990.522784115,63335.32494725989,40855.60120362335
0.04526799889016325,2615604.5005450863,887267.3420701522,87039.62203317235,83344.92549211535,62722.853881481984,40476.136252715056
0.05749800275988621,2343157.806805136,1031353.6788011773,84171.1091266892,81721.66662698652,62110.191712691194,40100.08752688757
0.07073155314282863,2101396.2486262624,1154560.1710185271,81397.1322173439,80120.89044678166,61497.5091873094,39727.40188909971
0.08501833812924252,1886817.3783223992,1259353.9170864152,78714.5757466966,78542.71215209717,60884.97467495474,39358.0276976026
0.10040420547973503,1696319.4426302565,1347918.3014115314,76120.42683913917,76987.21951092483,60272.75400493219,38991.91477309546
0.11692978602918076,1527155.3409497272,1422185.6195960278,73611.77190265834,75454.47442190877,59661.01031682925,38629.014365585776
0.13462896196640287,1376892.3137407477,1483865.6428060737,71185.79337659453,73944.51439214229,59049.90392687469,38269.279121541214
0.15352732682350273,1243375.7715185434,1534471.2477695378,68839.76655248216,72457.35396455355,58439.59220615829,37912.66305071411
0.17364039676446236,1124697.5735244513,1575340.8942967362,66571.05660023609,70992.98609876778,57830.22947454529,37559.12149669555
0.1949721586591887,1019167.7594820482,1607658.6513767764,64377.115292021364,69551.383358762,57221.96689604265,37208.611090172504
0.21751336061573287,925289.6311206829,1632471.8579259317,62255.47859696148,68132.49931232596,56614.95240688954,36861.089736687245
0.24124016004852478,841737.6194706964,1650706.801007705,60203.763632316695,66736.26960375503,56009.33063097509,36516.51657082304
0.26611293818228376,767337.7150859005,1663182.5817574575,58219.666040537355,65362.61310488665,55405.242819254774,36174.85192689378
0.2920754482405975,701050.1304110178,1670623.3988120712,56300.95740940873,64011.432989866706,54802.82679435821,35836.05730702858
0.319054411064488,641953.8736731282,1673669.4770521934,54445.482757690246,62682.6177641765,54202.216904367255,35500.09534925862
0.3469595037548637,589233.2584525137,1672886.6246445568,52651.15813115783,61376.04223441472,53603.543985515615,35166.9297962781
0.37568402577314486,542165.8026900045,1668774.8054505503,50915.968260467445,60091.56844191726,53006.93533167463,34836.52546436295
0.4051060132431347,500111.5460123568,1661775.7062172494,49237.96426440686,58829.046554566696,52412.51467401952,34508.848212118166
0.4350899349505034,462503.6669768737,1652279.3828757766,47615.261519165775,57588.31570176374,51820.40216217725,34183.864911079574
0.4654890289954418,428840.0684035885,1640630.2204945597,46046.037497020494,56369.204786666014,51230.714357567456,33861.54341511237
0.4961479939333255,398675.98266263475,1627132.1706343233,44528.529732349954,55171.533250089815,50643.56422950002,33541.85253115494
0.526906089244189,371617.43299574644,1612053.3820530404,43061.03384746528,53995.111796982914,50059.06115778522,33224.761990287276
0.5576004968062109,347315.4051885316,1595630.3280266498,41641.90163282858,52839.74309171333,49477.310940507705,32910.242419110975
0.5880697560828873,325460.6881320602,1578071.4596809808,40269.539189551666,51705.22241946986,48898.41580675931,32598.265311591655
0.6181571292132729,305779.3605703106,1559560.4014602385,38942.405153453976,50591.338307723345,48322.47443378387,32288.80300170423
0.6477137366308316,288028.7251657312,1540258.8295926894,37659.00895373493,49497.87312530485,47749.58196843281,31981.828636216826
0.6766013642184744,271993.75084238505,1520308.990415416,36417.90914340472,48424.603646201474,47179.830052490994,31677.316148202208
0.7046950879995284,257483.90738442534,1499835.9407789866,35217.71178771343,47371.30158599857,46613.30685091219,31375.240231118583
0.7318846779872246,244330.3430893482,1478949.5452156875,34057.068855146135,46337.73411764474,46050.097087533555,31075.576312618712
0.7580762015330461,232383.45429069502,1457746.19579294,32934.67678967667,45323.66433834652,45490.28207368423,30778.300530885223
0.7831926883565349,221510.63076056837,1436310.4069666818,31849.27496084148,44328.851747247354,44933.93975305125,30483.38970888553
0.8071742346645723,211594.34770061672,1414716.165114672,30799.64429699199,43353.05266642615,44381.14473870984,30190.82133118548
0.8299776364237382,202530.4320067183,1393028.1545032116,29784.60590321424,42396.02065533793,43831.96835720997,29900.573520378413
0.851575761206706,194226.5195883485,1371302.8478954765,28803.01972479102,41457.50690388607,43286.4786940686,29612.625014018504
0.8719563419889113,186600.73228772124,1349589.4416365416,27853.783288160415,40537.26059376474,42744.740640321965,29326.95514267668
0.8911205493139694,179580.4646612068,1327930.7128578408,26935.83045100604,39635.02924995322,42206.815941726774,29043.543807968115
0.9090815936978295,173101.32974515654,1306363.764116532,26048.130216187143,38750.55906830531,41672.76324835459,28762.37146149101
0.9258630232170655,167106.21263594297,1284920.6914562883,25189.685535504865,37883.59522669861,41142.6381699023,28483.419083523957
0.941497043032087,161544.45217775577,1263629.1621676306,24359.532254393755,37033.88217597812,40616.493322937094,28206.668163849034
0.9560229461191104,156371.09546501268,1242512.9404778269,23556.737978694615,36201.1639166712,40094.3783896686,27932.100681320146
0.9694855579236616,151546.24926570477,1221592.3449011033,22780.401046774095,35385.184258404806,39576.34017125397,27659.699085029803
0.9819338630318174,147034.49646718195,1200884.6594224866,22029.64950372076,34585.68706681478,39062.4226445222,27389.44627546058
0.9934196570781145,142804.39657063852,1180404.485244059,21303.64014273085,33802.41648887145,38552.66701734011,27121.325586749343
1.0039964630191762,138828.02310321652,1160164.0663039605,20601.557540981597,33035.11717215261,38047.111786731,26855.32076878937
